CASENUM,VEH_NO,REGION,STRATUM,PJ,PSU,PSUSTRAT,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,WEIGHT
201510444223,2,1,4,2,2,3,1,1,2,13,25,14,0,2,0,30,399,30399,4,2007,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,8,5,12,0,0,0,217.168
201510444318,1,1,4,6,2,3,1,0,2,11,0,14,0,2,0,42,399,42399,4,2013,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,197.12122
201510444459,2,1,4,10,2,3,1,0,3,21,21,14,0,2,0,2,499,2499,19,2009,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,179.70652
201510444577,2,1,4,4,2,3,1,0,3,16,39,14,0,2,0,30,999,30999,49,2013,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,215.54684
201510444592,2,1,4,10,2,3,1,0,3,23,0,14,0,2,0,49,399,49399,2,2007,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,0,0,0,179.70652
201510444777,2,1,6,6,2,3,1,0,4,16,33,42,0,3,0,42,399,42399,1,1976,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,13,6,2,12,0,0,0,98.56061
201510444906,1,1,4,10,2,3,1,0,4,7,19,14,0,2,0,35,499,35499,29,2012,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,2,5,12,0,0,0,179.70652
201510444978,2,1,5,6,2,3,1,0,4,18,12,30,0,3,0,30,399,30399,4,2011,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,3,8,5,30,0,0,0,49.280305
201510445206,1,1,4,3,2,3,1,0,5,10,41,14,0,2,0,49,399,49399,4,2010,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,0,0,0,217.168
201510445389,2,1,4,10,2,3,1,0,6,10,19,14,0,2,0,35,999,35999,49,2013,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,0,0,0,179.70652
201510445601,2,1,4,4,2,3,1,0,7,11,25,14,0,2,0,48,999,48999,49,2009,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,215.54684
201510445790,2,1,4,3,2,3,1,0,8,21,20,14,0,2,0,63,999,63999,49,2016,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,217.168
201510445967,2,1,6,2,2,3,1,0,8,14,48,14,0,2,0,37,399,37399,4,2013,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,108.584
201510445967,3,1,6,2,2,3,1,0,8,14,48,14,0,2,0,37,399,37399,4,2013,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,108.584
201510445982,2,1,4,4,2,3,1,0,8,13,12,14,0,2,0,24,399,24399,4,1998,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,215.54684
201510446407,1,1,4,4,2,3,1,0,10,9,52,14,0,2,0,49,399,49399,4,2015,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,1,8,5,12,0,0,0,215.54684
201510446446,2,1,4,16,2,3,1,0,9,17,12,14,0,2,0,7,482,7482,31,2015,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,213.289922
201510446498,2,1,4,4,2,3,1,0,10,9,2,14,0,2,0,54,399,54399,2,2001,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,8,5,12,0,0,0,215.54684
201510446690,2,1,4,3,2,3,1,0,11,18,44,14,0,2,0,35,399,35399,4,2007,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,217.168
201510446701,2,1,6,4,2,3,1,0,11,18,9,14,0,2,0,12,399,12399,2,2005,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,107.77342
201510447045,2,1,4,2,2,3,1,0,12,12,34,14,0,2,0,41,999,41999,49,2013,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,217.168
201510447146,2,1,4,4,2,3,1,0,12,11,24,14,0,2,0,35,499,35499,39,2009,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,215.54684
201510447181,2,1,4,4,2,3,1,0,12,17,48,14,0,2,0,12,999,12999,49,2004,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,215.54684
201510749283,1,1,4,4,3,1,1,0,1,16,30,14,0,2,0,49,442,49442,20,2013,5TDDK3DC1DS0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.876944
201510749521,1,1,4,8,3,1,1,0,1,19,20,14,0,2,0,63,441,63441,20,2009,KNDMB2333963,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.501052
201510749624,2,1,4,21,3,1,1,1,1,23,4,45,0,4,1,99,999,99999,99,9999,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,98,9,5,12,0,0,0,218.60058
201510749700,1,1,4,1,3,1,1,0,1,18,0,14,0,2,0,13,1,13001,4,2011,2LNBL8CV7BX7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,219.1904
201510749778,2,1,4,4,3,1,1,0,2,13,30,14,0,2,0,49,32,49032,4,2003,2T1KR32E23C0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,218.876944
201510749864,2,1,4,3,3,1,1,1,1,7,0,14,0,2,0,63,33,63033,4,2009,KNAFE2219955,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,0,0,0,218.384788
201510749964,1,1,4,3,3,1,1,0,2,11,40,14,0,2,0,37,32,37032,4,2010,1HGCP2F31AA1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.384788
201510750018,2,1,4,8,3,1,1,1,2,10,44,14,0,2,0,35,39,35039,4,2011,1N4AA5AP2BC8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.501052
201510750230,2,1,4,3,3,1,1,0,2,6,30,14,0,2,0,37,32,37032,4,2013,1HGCR2F51DA1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.384788
201510750255,3,1,5,21,3,1,2,0,2,11,44,12,6,2,0,34,401,34401,14,2009,5UXFE43589L2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,58.293488
201510750257,1,1,6,21,3,1,1,0,2,12,25,14,0,2,0,6,51,6051,4,2005,2C3JA43R25H6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,6,2,12,0,0,0,102.013604
201510750265,1,1,4,21,3,1,1,0,2,16,0,14,0,2,0,19,3,19003,4,2004,1G6KF57964U1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,14,0,0,0,218.60058
201510750265,3,1,4,21,3,1,1,0,2,16,0,14,0,2,0,35,47,35047,4,2002,1N4BL11EX2C1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,14,0,0,0,218.60058
201510750326,1,1,4,1,3,1,1,0,2,17,13,14,0,2,0,35,51,35051,6,2013,JN8AS5MV7DW6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,219.1904
201510750545,1,1,4,8,3,1,1,0,2,14,43,14,0,2,0,37,32,37032,4,2006,1HGCM66526A0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.501052
201510750641,3,1,3,3,3,1,2,0,2,7,20,12,6,2,0,37,399,37399,4,2010,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,5,8,5,12,0,0,0,10.157432
201510750641,4,1,3,3,3,1,2,0,2,7,20,12,6,2,0,55,33,55033,4,2011,5NPEB4AC1BH0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,10.157432
201510751004,1,1,4,21,3,1,1,0,3,17,30,14,0,2,0,42,43,42043,4,2007,WDDNG71X97A0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,8,5,12,0,0,0,218.60058
201510751091,2,1,4,1,3,1,1,0,3,8,20,14,0,2,0,54,35,54035,4,2006,19UUA66286A0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,6,2,12,0,0,0,219.1904
201510751091,3,1,4,1,3,1,1,0,3,8,20,14,0,2,0,20,404,20404,14,2005,2CNDL73F0561,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,219.1904
201510751319,1,1,4,7,3,1,1,0,3,19,45,14,0,2,0,34,47,34047,4,2015,WBA4B3C55FD6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,222.442088
201510751337,1,1,4,13,3,1,1,1,3,16,45,14,0,2,0,12,884,12884,78,2010,888888888888,0,77,777777777,77777777777,8,19,98,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,221.36985
201510751374,2,1,4,21,3,1,1,0,3,14,0,14,0,2,0,38,882,38882,61,2014,JALC4W163E70,0,77,777777777,77777777777,2,1,98,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.60058
201510751590,1,1,4,21,3,1,1,0,3,18,0,14,0,2,0,34,44,34044,5,2013,5UXFG2C51DL7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.60058
201510751616,1,1,4,3,3,1,1,0,3,10,51,14,0,2,0,20,431,20431,16,2002,1GNFK16Z02J1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.384788
201510751761,2,1,3,7,3,1,1,0,3,1,0,9,0,2,0,37,402,37402,14,2013,5J6RM4H33DL0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,99,9,5,12,0,0,0,10.111004
201510752183,2,1,4,16,3,1,1,0,4,15,0,14,0,2,0,58,37,58037,2,2007,JNKCV54E57M9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,0,0,0,218.683584
201510752243,1,1,6,3,3,1,1,0,4,1,15,14,0,2,0,42,421,42421,15,2015,4JGDF2EEXFA4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,101.57432
201510752258,2,1,4,4,3,1,1,0,4,13,15,14,0,2,0,21,17,21017,4,1995,1G3AJ554XS63,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,82,8,5,12,0,0,0,218.876944
201510752304,1,1,4,7,3,1,1,0,4,14,10,14,0,2,0,35,47,35047,4,2013,1N4AL3APXDN5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,222.442088
201510752376,1,1,4,3,3,1,1,2,4,13,50,14,0,2,0,20,482,20482,31,2008,3GNFK12358G1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,218.384788
201510752426,3,1,5,13,3,1,2,0,4,22,0,12,1,2,0,35,51,35051,6,2013,JN8AS5MV5DW6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,0,0,0,59.03196
201510752477,1,1,4,4,3,1,1,1,4,15,35,14,0,2,0,37,31,37031,4,2010,2HGFA1F67AH5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.876944
201510752546,2,1,6,7,3,1,1,0,4,7,10,14,0,2,0,84,881,84881,63,2011,1HTMKAAN9BH3,0,77,777777777,77777777777,3,1,98,1,0,0,0,0,0,0,0,10,8,5,12,0,0,0,101.11004
201510753065,2,1,3,4,3,1,1,1,5,6,2,14,0,2,0,12,16,12016,4,2011,2FABP7AV6BX1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,9.948952
201510753065,3,1,3,4,3,1,1,0,5,6,2,14,0,2,0,49,442,49442,20,2014,5TDKK3DC1ES4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,9.948952
201510753215,2,1,4,3,3,1,1,0,5,17,15,14,0,2,0,20,2,20002,4,2015,2G1WB5E30F11,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.384788
201510753320,1,1,4,4,3,1,1,0,5,10,0,14,0,2,0,59,403,59403,14,2004,2T2HA31U84C0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,82,6,2,12,0,0,0,218.876944
201510753396,1,1,4,16,3,1,1,0,5,16,16,14,0,2,0,52,47,52047,6,2011,JA4AP3AU0BZ0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,83,8,5,12,0,0,0,218.683584
201510753475,1,1,4,13,3,1,1,0,5,17,30,14,0,2,0,20,37,20037,4,2014,1G11H5SL7EF2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,221.36985
201510753545,1,1,4,3,3,1,1,0,5,7,0,14,0,2,0,35,401,35401,14,2013,5N1AR2MM7DC6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,83,8,5,12,0,0,0,218.384788
201510753664,1,1,4,13,3,1,1,0,5,9,30,14,0,2,0,34,34,34034,1,2002,WBSBR93402EX,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,221.36985
201510753712,1,1,4,4,3,1,1,0,5,19,0,14,0,2,0,37,32,37032,4,1999,1HGCG2254XA0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,81,8,5,12,0,0,0,218.876944
201510753879,3,1,5,21,3,1,2,0,5,14,45,12,6,2,0,35,47,35047,4,2013,1N4BL3AP9DN4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,58.293488
201510753912,1,1,4,16,3,1,1,1,5,14,0,14,0,2,0,9,442,9442,20,2000,2P4GP2436YR5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.683584
201510753975,2,1,4,4,3,1,1,0,6,20,50,14,0,2,0,41,403,41403,14,2016,JM3KE4CYXG06,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,218.876944
201510754007,2,1,4,7,3,1,1,0,6,11,55,14,0,2,0,37,421,37421,15,2004,2HKYF18514H5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,222.442088
201510754062,2,1,4,3,3,1,1,1,5,17,0,14,0,2,0,35,49,35049,6,2011,JN8AZ1MW7BW1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,81,8,5,12,0,0,0,218.384788
201510754217,1,1,4,16,3,1,1,0,6,17,45,14,0,2,0,35,47,35047,4,2015,1N4AL3AP7FC4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.683584
201510754410,1,1,4,21,3,1,1,0,6,10,0,14,0,2,0,30,40,30040,4,2012,3VWDP7AJ8CM3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,5,8,5,12,0,0,0,218.60058
201510754571,1,1,4,4,3,1,1,0,6,9,35,14,0,2,0,49,40,49040,4,2000,2T1CG22P3YC3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,218.876944
201510754571,3,1,4,4,3,1,1,0,6,9,35,14,0,2,0,37,39,37039,5,2008,JHMGD38638S0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,218.876944
201510754909,1,1,4,4,3,1,1,0,6,5,10,14,0,2,0,12,881,12881,61,2012,1FDRF3HT7CEA,0,77,777777777,77777777777,2,1,97,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.876944
201510754930,2,1,6,13,3,1,1,0,6,12,30,14,0,2,0,49,442,49442,20,2008,5TDZK23C58S1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,8,5,12,0,0,0,103.30593
201510754930,3,1,6,13,3,1,1,0,6,12,30,14,0,2,0,37,999,37999,49,2011,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,103.30593
201510755421,2,1,4,16,3,1,1,0,7,14,57,14,0,2,0,12,401,12401,14,2005,1FMZU67K35UA,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,218.683584
201510755430,1,1,4,8,3,1,1,1,7,9,30,14,0,2,0,35,401,35401,14,2002,JN8DR09Y12W7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,218.501052
201510755680,1,1,4,8,3,1,1,0,7,21,0,14,0,2,0,58,38,58038,4,2006,JNKAY01FX6M2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,218.501052
201510755953,1,1,4,3,3,1,1,0,7,16,0,14,0,2,0,12,988,12988,59,2014,1F64F5DY5E0A,0,77,777777777,77777777777,2,21,22,1,0,0,0,0,99,3,0,62,8,5,12,0,0,0,218.384788
201510756007,1,1,6,21,3,1,1,0,7,6,14,14,0,2,0,35,49,35049,1,2011,JN8AZ1MW8BW1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,102.013604
201510756007,2,1,6,21,3,1,1,0,7,6,14,14,0,2,0,54,35,54035,4,2003,19UUA568X3A0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,102.013604
201510756007,3,1,6,21,3,1,1,0,7,6,14,14,0,2,0,20,2,20002,4,2007,2G1WB58K3792,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,102.013604
201510756578,3,1,5,21,3,1,2,0,8,8,5,12,6,2,0,37,32,37032,4,2012,1HGCP2F69CA0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,6,2,12,0,0,0,58.293488
201510756637,1,1,5,3,3,1,1,4,8,10,21,14,0,2,0,58,421,58421,15,2004,5N3AA08C34N8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,60.944592
201510756734,2,1,4,7,3,1,1,0,8,19,40,14,0,2,0,20,422,20422,15,2014,1GNSKJE70ER2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,222.442088
201510757100,2,1,4,21,3,1,1,1,8,17,30,14,0,2,0,37,32,37032,4,2009,1HGCP26839A2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,218.60058
201510757194,3,1,5,13,3,1,2,0,8,2,30,12,2,2,0,49,442,49442,20,2005,5TDZA23CX5S2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,59.03196
201510757196,2,1,4,13,3,1,1,0,8,12,0,14,0,2,0,35,401,35401,14,2011,5N1AR1NB6BC6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,221.36985
201510757274,1,1,4,1,3,1,1,0,8,10,21,14,0,2,0,35,43,35043,4,2014,3N1AB7AP8EY2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,8,5,12,0,0,0,219.1904
201510757308,2,1,6,21,3,1,1,0,8,18,0,14,0,2,0,7,21,7021,6,2008,2D4FV47T38H1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,102.013604
201510757315,2,1,4,21,3,1,1,0,8,9,35,14,0,2,0,49,472,49472,30,2006,5TETU62N66Z2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.60058
201510757442,1,1,4,4,3,1,1,0,9,16,30,14,0,2,0,54,399,54399,4,2014,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,218.876944
201510757484,2,1,4,21,3,1,1,2,9,13,30,14,0,2,0,54,421,54421,15,2013,2HNYD2H21DH5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.60058
201510757500,2,1,1,8,3,1,1,0,8,6,45,14,0,2,0,34,402,34402,14,2004,WBXPA73494WC,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,6,2,12,0,0,0,4.965933
201510757500,3,1,1,8,3,1,1,0,8,6,45,14,0,2,0,20,461,20461,21,2007,1GCGG25V0711,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,4.965933
201510757500,4,1,1,8,3,1,1,0,8,6,45,14,0,2,0,49,40,49040,4,1993,4T1SK12E5PU2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,4.965933
201510757500,5,1,1,8,3,1,1,0,8,6,45,14,0,3,0,76,706,76706,80,2013,JYARN27E1DA0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,4.965933
201510757500,6,1,1,8,3,1,1,0,8,6,45,14,0,2,0,49,401,49401,14,2004,JTEBT14R5400,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,4.965933
201510757554,2,1,4,8,3,1,1,0,8,18,30,14,0,2,0,18,7,18007,4,2004,2G4WS52J7411,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,83,8,5,12,0,0,0,218.501052
201510757749,3,1,5,3,3,1,2,0,9,13,30,12,7,2,0,54,36,54036,4,2000,JH4KA9652YC0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,60.944592
201510757749,4,1,5,3,3,1,2,0,9,13,30,12,7,2,0,37,32,37032,4,1999,1HGCG667XXA0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,60.944592
201510757814,2,1,4,10,3,1,1,0,9,3,6,14,0,2,0,55,399,55399,4,2011,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,83,8,5,12,0,0,0,220.031018
201510757972,1,1,4,7,3,1,1,1,9,22,55,14,0,2,0,12,401,12401,14,2014,1FM5K8GT2EGC,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,222.442088
201510758131,1,1,4,3,3,1,1,0,9,10,0,14,0,2,0,12,23,12023,4,2011,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.384788
201510758308,2,1,4,16,3,1,1,0,9,8,15,14,0,2,0,30,40,30040,4,2012,3VWBP7AJ8CM1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,82,8,5,12,0,0,0,218.683584
201510758632,3,1,4,21,3,1,2,0,9,17,24,12,9,2,0,59,999,59999,49,2003,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,218.60058
201510758673,1,1,4,7,3,1,1,0,9,3,0,14,0,2,0,49,442,49442,20,2006,5TDZA23C86S4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,1,8,5,12,0,0,0,222.442088
201510758879,3,1,6,21,3,1,2,1,10,17,6,12,7,2,0,13,1,13001,4,2003,1LNHM82W73Y6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,102.013604
201510758879,4,1,6,21,3,1,2,0,10,17,6,12,7,2,0,35,51,35051,6,2014,5N1AT2MV9EC8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,102.013604
201510759100,2,1,4,4,3,1,1,0,10,17,35,14,0,2,0,12,3,12003,2,2011,1ZVBP8EM8B51,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.876944
201510759151,1,1,4,10,3,1,1,0,10,19,45,14,0,2,0,49,442,49442,20,2015,5TDJK3DCXFS1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,220.031018
201510759300,1,1,4,7,3,1,1,0,10,14,20,14,0,2,0,59,32,59032,4,2005,JTHBN36F0501,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,222.442088
201510759356,1,1,4,16,3,1,1,0,10,15,15,14,0,2,0,84,881,84881,62,2006,1HTMMAAM66H1,0,77,777777777,77777777777,2,1,98,1,0,0,0,0,0,0,0,99,9,5,12,0,0,0,218.683584
201510759360,2,1,4,3,3,1,1,0,10,15,50,14,0,2,0,63,441,63441,20,2015,KNDMB5C17F60,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,99,9,5,12,0,0,0,218.384788
201510759531,3,1,5,1,3,1,2,0,10,18,30,12,6,2,0,35,51,35051,6,2008,JN8AS58V68W4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,8,5,12,0,0,0,59.7792
201510759606,2,1,3,10,3,1,1,0,10,13,16,14,0,2,0,35,47,35047,4,1997,1N4BU31D9VC2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,14.349849
201510759613,2,1,4,10,3,1,1,0,10,10,45,14,0,2,0,12,461,12461,21,2006,1FBSS31LX6D0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,220.031018
201510759672,2,1,4,3,3,1,1,0,10,12,20,14,0,2,0,49,403,49403,14,2004,JTEEP21A0400,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,218.384788
201510759936,1,1,4,21,3,1,1,1,10,9,40,14,0,2,0,55,33,55033,4,2006,5NPEU46F56H0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,8,5,12,0,0,0,218.60058
201510759973,2,1,4,21,3,1,1,0,11,8,0,14,0,2,0,35,39,35039,4,2004,1N4BA41E84C8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,83,8,5,12,0,0,0,218.60058
