CASENUM,VEH_NO,REGION,STRATUM,PJ,PSU,PSUSTRAT,MVIOLATN,WEIGHT
201510443751,1,1,4,3,2,3,0,217.168
201510443757,1,1,6,4,2,3,0,107.77342
201510443760,1,1,4,4,2,3,58,215.54684
201510443760,2,1,4,4,2,3,0,215.54684
201510443763,1,1,4,10,2,3,0,179.70652
201510443763,2,1,4,10,2,3,0,179.70652
201510443802,1,1,4,2,2,3,0,217.168
201510443803,1,1,6,2,2,3,0,108.584
201510443812,1,1,4,3,2,3,0,217.168
201510443812,2,1,4,3,2,3,0,217.168
201510443826,1,1,6,10,2,3,0,89.85326
201510443826,2,1,6,10,2,3,0,89.85326
201510443827,1,1,4,10,2,3,0,179.70652
201510443827,2,1,4,10,2,3,0,179.70652
201510443829,1,1,4,10,2,3,0,179.70652
201510443829,2,1,4,10,2,3,0,179.70652
201510443845,1,1,5,1,2,3,52,54.292
201510443845,2,1,5,1,2,3,0,54.292
201510443847,1,1,6,1,2,3,0,108.584
201510443849,1,1,4,1,2,3,0,217.168
201510443854,1,1,1,1,2,3,11,27.146
201510443854,1,1,1,1,2,3,39,27.146
201510443854,1,1,1,1,2,3,83,27.146
201510443857,1,1,6,1,2,3,0,108.584
201510443862,1,1,4,1,2,3,23,217.168
201510443866,1,1,3,3,2,3,0,27.146
201510443866,2,1,3,3,2,3,0,27.146
201510443875,1,1,6,10,2,3,0,89.85326
201510443875,2,1,6,10,2,3,0,89.85326
201510443875,3,1,6,10,2,3,0,89.85326
201510443876,1,1,4,10,2,3,0,179.70652
201510443876,2,1,4,10,2,3,0,179.70652
201510443877,1,1,6,10,2,3,0,89.85326
201510443879,1,1,4,10,2,3,0,179.70652
201510443895,1,1,5,2,2,3,0,54.292
201510443902,1,1,6,2,2,3,0,108.584
201510443902,2,1,6,2,2,3,0,108.584
201510443904,1,1,4,2,2,3,0,217.168
201510443904,2,1,4,2,2,3,0,217.168
201510443908,1,1,5,2,2,3,0,54.292
201510443909,1,1,6,2,2,3,0,108.584
201510443916,1,1,6,1,2,3,0,108.584
201510443916,2,1,6,1,2,3,0,108.584
201510443921,1,1,6,1,2,3,0,108.584
201510443923,1,1,6,3,2,3,0,108.584
201510443925,1,1,5,3,2,3,0,54.292
201510443925,2,1,5,3,2,3,0,54.292
201510443927,1,1,4,3,2,3,0,217.168
201510443927,2,1,4,3,2,3,0,217.168
201510443933,1,1,5,3,2,3,0,54.292
201510443933,2,1,5,3,2,3,0,54.292
201510443936,1,1,6,4,2,3,0,107.77342
201510443938,1,1,6,4,2,3,0,107.77342
201510443938,2,1,6,4,2,3,0,107.77342
201510443940,1,1,6,4,2,3,0,107.77342
201510443941,1,1,5,4,2,3,0,53.88671
201510443943,1,1,6,4,2,3,0,107.77342
201510443943,2,1,6,4,2,3,0,107.77342
201510443943,3,1,6,4,2,3,0,107.77342
201510443945,1,1,6,4,2,3,0,107.77342
201510443946,1,1,2,4,2,3,0,53.88671
201510443946,2,1,2,4,2,3,0,53.88671
201510443951,1,1,6,4,2,3,69,107.77342
201510443951,1,1,6,4,2,3,72,107.77342
201510443953,1,1,6,4,2,3,71,107.77342
201510443953,2,1,6,4,2,3,0,107.77342
201510443954,1,1,4,4,2,3,0,215.54684
201510443956,1,1,6,4,2,3,0,107.77342
201510443958,1,1,5,4,2,3,0,53.88671
201510443963,1,1,6,6,2,3,0,98.56061
201510443964,1,1,4,6,2,3,0,197.12122
201510443969,1,1,6,6,2,3,0,98.56061
201510443971,1,1,4,6,2,3,71,197.12122
201510443971,1,1,4,6,2,3,72,197.12122
201510443972,1,1,6,6,2,3,0,98.56061
201510443974,1,1,5,6,2,3,89,49.280305
201510443976,1,1,6,6,2,3,0,98.56061
201510443976,2,1,6,6,2,3,0,98.56061
201510443980,1,1,5,6,2,3,0,49.280305
201510443981,1,1,6,6,2,3,7,98.56061
201510443981,1,1,6,6,2,3,12,98.56061
201510443983,1,1,5,6,2,3,71,49.280305
201510443984,1,1,6,6,2,3,0,98.56061
201510443986,1,1,6,6,2,3,0,98.56061
201510443987,1,1,5,6,2,3,0,49.280305
201510443987,2,1,5,6,2,3,29,49.280305
201510443987,2,1,5,6,2,3,58,49.280305
201510443988,1,1,5,6,2,3,23,49.280305
201510443989,1,1,4,6,2,3,0,197.12122
201510443989,2,1,4,6,2,3,71,197.12122
201510443993,1,1,4,6,2,3,0,197.12122
201510443997,1,1,5,6,2,3,0,49.280305
201510443997,2,1,5,6,2,3,0,49.280305
201510443998,1,1,6,6,2,3,95,98.56061
201510443998,2,1,6,6,2,3,0,98.56061
201510444000,1,1,6,10,2,3,0,89.85326
201510444001,1,1,6,10,2,3,0,89.85326
201510444002,1,1,5,10,2,3,0,89.85326
201510444002,2,1,5,10,2,3,0,89.85326
201510444004,1,1,6,10,2,3,0,89.85326
201510444005,1,1,4,10,2,3,0,179.70652
201510444005,2,1,4,10,2,3,0,179.70652
201510444007,1,1,4,10,2,3,58,179.70652
201510444007,1,1,4,10,2,3,71,179.70652
201510444007,2,1,4,10,2,3,0,179.70652
201510444008,1,1,6,10,2,3,0,89.85326
201510444008,2,1,6,10,2,3,0,89.85326
201510444010,1,1,6,10,2,3,0,89.85326
201510444029,1,1,2,1,2,3,0,54.292
201510444039,1,1,6,3,2,3,71,108.584
201510444041,1,1,4,3,2,3,0,217.168
201510444046,1,1,6,4,2,3,7,107.77342
201510444046,1,1,6,4,2,3,29,107.77342
201510444046,1,1,6,4,2,3,71,107.77342
201510444046,1,1,6,4,2,3,79,107.77342
201510444046,1,1,6,4,2,3,89,107.77342
201510444047,1,1,1,4,2,3,11,53.88671
201510444047,1,1,1,4,2,3,19,53.88671
201510444047,1,1,1,4,2,3,69,53.88671
201510444049,1,1,4,4,2,3,0,215.54684
201510444049,2,1,4,4,2,3,0,215.54684
201510444051,1,1,6,4,2,3,0,107.77342
201510444052,1,1,5,4,2,3,0,53.88671
201510444052,2,1,5,4,2,3,0,53.88671
201510444054,1,1,6,4,2,3,0,107.77342
201510444054,2,1,6,4,2,3,0,107.77342
201510444056,1,1,1,6,2,3,29,49.280305
201510444056,1,1,1,6,2,3,59,49.280305
201510444056,1,1,1,6,2,3,72,49.280305
201510444059,1,1,5,6,2,3,0,49.280305
201510444060,1,1,6,6,2,3,0,98.56061
201510444061,1,1,4,6,2,3,0,197.12122
201510444063,1,1,1,6,2,3,11,49.280305
201510444063,1,1,1,6,2,3,19,49.280305
201510444063,1,1,1,6,2,3,69,49.280305
201510444063,2,1,1,6,2,3,0,49.280305
201510444065,1,1,6,6,2,3,0,98.56061
201510444067,1,1,5,6,2,3,0,49.280305
201510444067,2,1,5,6,2,3,89,49.280305
201510444067,2,1,5,6,2,3,98,49.280305
201510444067,2,1,5,6,2,3,99,49.280305
201510444069,1,1,6,6,2,3,0,98.56061
201510444071,1,1,4,6,2,3,0,197.12122
201510444075,1,1,3,6,2,3,0,49.280305
201510444077,1,1,6,9,2,3,0,115.047462
201510444079,1,1,6,9,2,3,0,115.047462
201510444082,1,1,4,9,2,3,0,230.094924
201510444084,1,1,5,10,2,3,58,89.85326
201510444084,2,1,5,10,2,3,0,89.85326
201510444085,1,1,4,10,2,3,0,179.70652
201510444085,2,1,4,10,2,3,0,179.70652
201510444087,1,1,6,10,2,3,0,89.85326
201510444087,2,1,6,10,2,3,0,89.85326
201510444088,1,1,5,10,2,3,71,89.85326
201510444089,1,1,3,10,2,3,7,89.85326
201510444089,1,1,3,10,2,3,71,89.85326
201510444090,1,1,5,10,2,3,0,89.85326
201510444091,1,1,4,10,2,3,0,179.70652
201510444131,1,1,4,1,2,3,0,217.168
201510444132,1,1,1,1,2,3,0,27.146
201510444133,1,1,5,1,2,3,0,54.292
201510444134,1,1,6,1,2,3,0,108.584
201510444139,1,1,6,2,2,3,0,108.584
201510444150,1,1,5,3,2,3,0,54.292
201510444150,2,1,5,3,2,3,0,54.292
201510444157,1,1,4,3,2,3,0,217.168
201510444157,2,1,4,3,2,3,0,217.168
201510444164,1,1,6,4,2,3,0,107.77342
201510444164,2,1,6,4,2,3,0,107.77342
201510444164,3,1,6,4,2,3,58,107.77342
201510444166,1,1,4,4,2,3,0,215.54684
201510444166,2,1,4,4,2,3,0,215.54684
201510444170,1,1,6,6,2,3,0,98.56061
201510444173,1,1,4,6,2,3,71,197.12122
201510444178,1,1,4,6,2,3,0,197.12122
201510444178,2,1,4,6,2,3,58,197.12122
201510444179,1,1,5,6,2,3,23,49.280305
201510444179,1,1,5,6,2,3,52,49.280305
201510444180,1,1,5,6,2,3,52,49.280305
201510444182,1,1,6,6,2,3,0,98.56061
201510444182,2,1,6,6,2,3,0,98.56061
201510444205,1,1,4,10,2,3,0,179.70652
201510444207,1,1,5,10,2,3,0,89.85326
201510444207,2,1,5,10,2,3,0,89.85326
201510444208,1,1,4,10,2,3,0,179.70652
201510444210,1,1,6,10,2,3,0,89.85326
201510444210,2,1,6,10,2,3,0,89.85326
201510444211,1,1,6,10,2,3,0,89.85326
201510444212,1,1,6,10,2,3,0,89.85326
201510444212,2,1,6,10,2,3,0,89.85326
201510444218,1,1,6,1,2,3,0,108.584
201510444222,1,1,6,2,2,3,0,108.584
201510444223,1,1,4,2,2,3,0,217.168
201510444225,1,1,5,2,2,3,37,54.292
201510444225,2,1,5,2,2,3,0,54.292
201510444231,1,1,6,3,2,3,0,108.584
201510444231,2,1,6,3,2,3,72,108.584
201510444236,1,1,4,3,2,3,0,217.168
201510444236,2,1,4,3,2,3,0,217.168
201510444238,1,1,4,10,2,3,0,179.70652
201510444238,2,1,4,10,2,3,0,179.70652
201510444240,1,1,4,10,2,3,0,179.70652
201510444242,1,1,6,10,2,3,0,89.85326
201510444243,1,1,4,10,2,3,0,179.70652
201510444261,1,1,4,1,2,3,0,217.168
201510444261,2,1,4,1,2,3,0,217.168
201510444276,1,1,1,3,2,3,0,27.146
201510444276,2,1,1,3,2,3,0,27.146
201510444277,1,1,6,3,2,3,23,108.584
201510444277,1,1,6,3,2,3,52,108.584
201510444280,1,1,4,3,2,3,0,217.168
201510444286,1,1,4,4,2,3,0,215.54684
201510444286,2,1,4,4,2,3,0,215.54684
201510444287,1,1,6,4,2,3,31,107.77342
201510444287,2,1,6,4,2,3,0,107.77342
201510444291,1,1,6,4,2,3,0,107.77342
201510444291,2,1,6,4,2,3,71,107.77342
201510444291,2,1,6,4,2,3,72,107.77342
201510444291,2,1,6,4,2,3,89,107.77342
201510444293,1,1,4,4,2,3,0,215.54684
201510444293,2,1,4,4,2,3,0,215.54684
201510444299,1,1,4,6,2,3,0,197.12122
201510444303,1,1,4,6,2,3,0,197.12122
201510444303,2,1,4,6,2,3,95,197.12122
201510444308,1,1,6,6,2,3,0,98.56061
201510444309,1,1,4,6,2,3,0,197.12122
201510444309,2,1,4,6,2,3,0,197.12122
201510444313,1,1,4,6,2,3,0,197.12122
201510444313,2,1,4,6,2,3,0,197.12122
201510444318,2,1,4,6,2,3,0,197.12122
201510444320,1,1,6,6,2,3,0,98.56061
201510444320,2,1,6,6,2,3,7,98.56061
201510444320,2,1,6,6,2,3,46,98.56061
201510444321,1,1,2,6,2,3,0,49.280305
201510444321,2,1,2,6,2,3,0,49.280305
201510444325,1,1,6,9,2,3,0,115.047462
201510444330,1,1,4,9,2,3,0,230.094924
201510444330,2,1,4,9,2,3,0,230.094924
201510444332,1,1,5,9,2,3,0,57.523731
201510444333,1,1,6,9,2,3,83,115.047462
201510444333,1,1,6,9,2,3,89,115.047462
201510444336,1,1,5,9,2,3,0,57.523731
201510444338,1,1,6,9,2,3,23,115.047462
201510444340,1,1,6,9,2,3,23,115.047462
201510444340,2,1,6,9,2,3,0,115.047462
201510444342,1,1,6,9,2,3,58,115.047462
201510444342,2,1,6,9,2,3,0,115.047462
201510444344,1,1,6,9,2,3,0,115.047462
201510444345,1,1,4,9,2,3,0,230.094924
201510444345,2,1,4,9,2,3,0,230.094924
201510444349,1,1,4,9,2,3,0,230.094924
201510444351,1,1,5,9,2,3,11,57.523731
201510444351,1,1,5,9,2,3,69,57.523731
201510444352,1,1,5,9,2,3,0,57.523731
201510444355,1,1,6,10,2,3,0,89.85326
201510444356,1,1,4,10,2,3,0,179.70652
201510444356,2,1,4,10,2,3,0,179.70652
201510444357,1,1,6,10,2,3,0,89.85326
201510444359,1,1,4,10,2,3,0,179.70652
201510444361,1,1,4,10,2,3,7,179.70652
201510444361,1,1,4,10,2,3,72,179.70652
201510444382,1,1,5,2,2,3,0,54.292
201510444382,2,1,5,2,2,3,46,54.292
201510444393,1,1,5,3,2,3,0,54.292
201510444393,2,1,5,3,2,3,0,54.292
201510444394,1,1,4,3,2,3,0,217.168
201510444394,2,1,4,3,2,3,0,217.168
201510444395,1,1,6,3,2,3,0,108.584
201510444395,2,1,6,3,2,3,0,108.584
201510444400,1,1,6,4,2,3,0,107.77342
201510444400,2,1,6,4,2,3,0,107.77342
201510444402,1,1,4,4,2,3,0,215.54684
201510444402,2,1,4,4,2,3,0,215.54684
201510444404,1,1,4,6,2,3,0,197.12122
201510444406,1,1,5,6,2,3,0,49.280305
201510444411,1,1,5,10,2,3,71,89.85326
201510444411,2,1,5,10,2,3,0,89.85326
201510444411,3,1,5,10,2,3,0,89.85326
201510444412,1,1,6,10,2,3,0,89.85326
201510444412,2,1,6,10,2,3,0,89.85326
201510444413,1,1,4,10,2,3,0,179.70652
201510444413,2,1,4,10,2,3,0,179.70652
201510444415,1,1,6,10,2,3,0,89.85326
201510444415,2,1,6,10,2,3,0,89.85326
201510444416,1,1,4,10,2,3,0,179.70652
201510444417,1,1,5,10,2,3,19,89.85326
201510444417,1,1,5,10,2,3,58,89.85326
201510444417,2,1,5,10,2,3,0,89.85326
201510444417,3,1,5,10,2,3,0,89.85326
201510444419,1,1,5,16,2,3,0,106.644961
201510444420,1,1,6,16,2,3,0,106.644961
201510444422,1,1,6,16,2,3,0,106.644961
201510444423,1,1,6,16,2,3,0,106.644961
201510444424,1,1,5,16,2,3,0,106.644961
201510444425,1,1,4,16,2,3,0,213.289922
201510444426,1,1,6,16,2,3,0,106.644961
201510444440,1,1,6,3,2,3,59,108.584
201510444440,1,1,6,3,2,3,71,108.584
201510444440,1,1,6,3,2,3,72,108.584
201510444446,1,1,4,3,2,3,0,217.168
201510444446,2,1,4,3,2,3,0,217.168
201510444449,1,1,4,6,2,3,0,197.12122
201510444452,1,1,5,6,2,3,0,49.280305
201510444457,1,1,6,10,2,3,0,89.85326
201510444457,2,1,6,10,2,3,0,89.85326
201510444458,1,1,6,10,2,3,0,89.85326
201510444458,2,1,6,10,2,3,0,89.85326
201510444459,1,1,4,10,2,3,0,179.70652
201510444460,1,1,6,10,2,3,0,89.85326
201510444460,2,1,6,10,2,3,0,89.85326
201510444462,1,1,4,10,2,3,0,179.70652
201510444462,2,1,4,10,2,3,0,179.70652
201510444463,1,1,6,10,2,3,0,89.85326
201510444463,2,1,6,10,2,3,0,89.85326
201510444465,1,1,4,10,2,3,0,179.70652
201510444475,1,1,6,1,2,3,0,108.584
201510444477,1,1,5,1,2,3,23,54.292
201510444477,2,1,5,1,2,3,0,54.292
201510444482,1,1,4,1,2,3,0,217.168
201510444482,2,1,4,1,2,3,0,217.168
201510444488,1,1,6,6,2,3,0,98.56061
201510444488,2,1,6,6,2,3,0,98.56061
201510444489,1,1,5,6,2,3,0,49.280305
201510444489,2,1,5,6,2,3,95,49.280305
201510444491,1,1,4,6,2,3,0,197.12122
201510444491,2,1,4,6,2,3,0,197.12122
201510444494,1,1,6,6,2,3,0,98.56061
201510444501,1,1,4,10,2,3,0,179.70652
201510444501,2,1,4,10,2,3,0,179.70652
201510444503,1,1,6,10,2,3,7,89.85326
201510444505,1,1,4,2,2,3,0,217.168
201510444505,2,1,4,2,2,3,0,217.168
201510444506,1,1,6,2,2,3,0,108.584
201510444514,1,1,6,2,2,3,31,108.584
201510444514,1,1,6,2,2,3,74,108.584
201510444514,1,1,6,2,2,3,79,108.584
201510444514,2,1,6,2,2,3,0,108.584
201510444514,3,1,6,2,2,3,0,108.584
201510444522,1,1,4,2,2,3,0,217.168
201510444522,2,1,4,2,2,3,0,217.168
201510444534,1,1,4,4,2,3,0,215.54684
201510444534,2,1,4,4,2,3,23,215.54684
201510444555,1,1,5,2,2,3,0,54.292
201510444555,2,1,5,2,2,3,46,54.292
201510444560,1,1,6,2,2,3,0,108.584
201510444560,2,1,6,2,2,3,0,108.584
201510444564,1,1,6,3,2,3,0,108.584
201510444564,2,1,6,3,2,3,0,108.584
201510444566,1,1,3,3,2,3,0,27.146
201510444568,1,1,5,3,2,3,11,54.292
201510444568,1,1,5,3,2,3,19,54.292
201510444568,1,1,5,3,2,3,52,54.292
201510444568,1,1,5,3,2,3,71,54.292
201510444568,1,1,5,3,2,3,99,54.292
201510444568,2,1,5,3,2,3,0,54.292
201510444569,1,1,4,3,2,3,0,217.168
201510444569,2,1,4,3,2,3,0,217.168
201510444575,1,1,6,4,2,3,0,107.77342
201510444575,2,1,6,4,2,3,0,107.77342
201510444577,1,1,4,4,2,3,7,215.54684
201510444582,1,1,5,6,2,3,0,49.280305
201510444584,1,1,6,6,2,3,0,98.56061
201510444584,2,1,6,6,2,3,0,98.56061
201510444587,1,1,6,6,2,3,0,98.56061
201510444589,1,1,6,6,2,3,23,98.56061
201510444592,1,1,4,10,2,3,0,179.70652
201510444594,1,1,4,10,2,3,0,179.70652
201510444594,2,1,4,10,2,3,0,179.70652
201510444596,1,1,5,16,2,3,0,106.644961
201510444597,1,1,6,16,2,3,0,106.644961
201510444598,1,1,5,16,2,3,0,106.644961
201510444598,2,1,5,16,2,3,46,106.644961
201510444599,1,1,6,16,2,3,0,106.644961
201510444599,2,1,6,16,2,3,39,106.644961
201510444600,1,1,6,16,2,3,0,106.644961
201510444619,1,1,4,4,2,3,0,215.54684
201510444623,1,1,4,6,2,3,0,197.12122
201510444624,1,1,6,6,2,3,0,98.56061
201510444629,1,1,6,6,2,3,7,98.56061
201510444630,1,1,4,6,2,3,0,197.12122
201510444633,1,1,6,6,2,3,0,98.56061
201510444637,1,1,4,10,2,3,0,179.70652
201510444637,2,1,4,10,2,3,0,179.70652
201510444638,1,1,6,10,2,3,19,89.85326
201510444638,1,1,6,10,2,3,23,89.85326
201510444638,1,1,6,10,2,3,69,89.85326
201510444638,1,1,6,10,2,3,72,89.85326
201510444639,1,1,6,10,2,3,0,89.85326
201510444656,1,1,5,1,2,3,0,54.292
201510444660,1,1,4,1,2,3,0,217.168
201510444660,2,1,4,1,2,3,0,217.168
201510444662,1,1,6,1,2,3,58,108.584
201510444662,2,1,6,1,2,3,0,108.584
201510444662,3,1,6,1,2,3,0,108.584
201510444672,1,1,5,1,2,3,69,54.292
201510444672,2,1,5,1,2,3,0,54.292
201510444677,1,1,1,2,2,3,49,27.146
201510444677,2,1,1,2,2,3,0,27.146
201510444682,1,1,4,2,2,3,0,217.168
201510444687,1,1,4,3,2,3,0,217.168
201510444687,2,1,4,3,2,3,0,217.168
201510444689,1,1,6,3,2,3,29,108.584
201510444689,1,1,6,3,2,3,69,108.584
201510444689,2,1,6,3,2,3,0,108.584
201510444694,1,1,6,10,2,3,0,89.85326
201510444694,2,1,6,10,2,3,0,89.85326
201510444715,1,1,4,1,2,3,0,217.168
201510444715,2,1,4,1,2,3,0,217.168
201510444716,1,1,2,1,2,3,0,54.292
201510444716,2,1,2,1,2,3,0,54.292
201510444717,1,1,6,1,2,3,72,108.584
201510444724,1,1,5,1,2,3,0,54.292
201510444726,1,1,6,2,2,3,8,108.584
201510444726,1,1,6,2,2,3,23,108.584
201510444726,1,1,6,2,2,3,89,108.584
201510444733,1,1,6,2,2,3,0,108.584
201510444740,1,1,5,3,2,3,0,54.292
201510444740,2,1,5,3,2,3,0,54.292
201510444742,1,1,4,3,2,3,0,217.168
201510444742,2,1,4,3,2,3,0,217.168
201510444749,1,1,4,4,2,3,0,215.54684
201510444750,1,1,3,4,2,3,0,53.88671
201510444756,1,1,4,6,2,3,0,197.12122
201510444757,1,1,5,6,2,3,0,49.280305
201510444757,2,1,5,6,2,3,71,49.280305
201510444757,2,1,5,6,2,3,72,49.280305
201510444757,2,1,5,6,2,3,91,49.280305
201510444761,1,1,5,6,2,3,0,49.280305
201510444762,1,1,6,6,2,3,0,98.56061
201510444764,1,1,4,6,2,3,0,197.12122
201510444768,1,1,4,6,2,3,0,197.12122
201510444768,2,1,4,6,2,3,74,197.12122
201510444773,1,1,4,6,2,3,0,197.12122
201510444773,2,1,4,6,2,3,0,197.12122
201510444777,1,1,6,6,2,3,11,98.56061
201510444777,1,1,6,6,2,3,22,98.56061
201510444777,1,1,6,6,2,3,69,98.56061
201510444778,1,1,4,6,2,3,0,197.12122
201510444783,1,1,6,9,2,3,13,115.047462
201510444783,1,1,6,9,2,3,69,115.047462
201510444785,1,1,6,9,2,3,69,115.047462
201510444787,1,1,6,9,2,3,0,115.047462
201510444791,1,1,6,9,2,3,29,115.047462
201510444792,1,1,5,9,2,3,49,57.523731
201510444792,2,1,5,9,2,3,0,57.523731
201510444793,1,1,4,9,2,3,0,230.094924
201510444797,1,1,5,9,2,3,10,57.523731
201510444799,1,1,4,9,2,3,0,230.094924
201510444801,1,1,1,9,2,3,0,57.523731
201510444802,1,1,5,9,2,3,29,57.523731
201510444802,1,1,5,9,2,3,72,57.523731
201510444803,1,1,6,9,2,3,58,115.047462
201510444803,2,1,6,9,2,3,0,115.047462
201510444803,3,1,6,9,2,3,0,115.047462
201510444804,1,1,5,9,2,3,58,57.523731
201510444804,2,1,5,9,2,3,0,57.523731
201510444804,3,1,5,9,2,3,0,57.523731
201510444808,1,1,4,9,2,3,0,230.094924
201510444808,2,1,4,9,2,3,7,230.094924
201510444808,2,1,4,9,2,3,52,230.094924
201510444808,2,1,4,9,2,3,72,230.094924
201510444809,1,1,6,9,2,3,98,115.047462
201510444809,2,1,6,9,2,3,0,115.047462
201510444812,1,1,6,9,2,3,7,115.047462
201510444812,1,1,6,9,2,3,69,115.047462
201510444812,1,1,6,9,2,3,91,115.047462
201510444815,1,1,6,9,2,3,29,115.047462
201510444818,1,1,6,9,2,3,0,115.047462
201510444819,1,1,4,9,2,3,89,230.094924
201510444821,1,1,6,9,2,3,49,115.047462
201510444821,2,1,6,9,2,3,0,115.047462
201510444823,1,1,6,9,2,3,0,115.047462
201510444826,1,1,2,10,2,3,0,89.85326
201510444826,2,1,2,10,2,3,0,89.85326
201510444828,1,1,6,10,2,3,0,89.85326
201510444828,2,1,6,10,2,3,0,89.85326
201510444829,1,1,4,10,2,3,0,179.70652
201510444829,2,1,4,10,2,3,0,179.70652
201510444831,1,1,4,10,2,3,0,179.70652
201510444831,2,1,4,10,2,3,0,179.70652
201510444833,1,1,4,10,2,3,0,179.70652
201510444833,2,1,4,10,2,3,0,179.70652
201510444834,1,1,6,10,2,3,0,89.85326
201510444834,2,1,6,10,2,3,0,89.85326
201510444837,1,1,6,16,2,3,0,106.644961
201510444838,1,1,6,16,2,3,0,106.644961
201510444839,1,1,6,16,2,3,0,106.644961
201510444840,1,1,6,16,2,3,0,106.644961
201510444841,1,1,5,16,2,3,0,106.644961
201510444842,1,1,6,16,2,3,0,106.644961
201510444870,1,1,5,3,2,3,0,54.292
201510444870,2,1,5,3,2,3,0,54.292
201510444871,1,1,4,3,2,3,0,217.168
201510444871,2,1,4,3,2,3,0,217.168
201510444872,1,1,6,3,2,3,71,108.584
201510444872,2,1,6,3,2,3,74,108.584
201510444875,1,1,4,4,2,3,0,215.54684
201510444878,1,1,6,4,2,3,0,107.77342
201510444878,2,1,6,4,2,3,46,107.77342
201510444880,1,1,5,4,2,3,11,53.88671
201510444880,1,1,5,4,2,3,22,53.88671
201510444880,1,1,5,4,2,3,69,53.88671
201510444881,1,1,6,4,2,3,22,107.77342
201510444881,1,1,6,4,2,3,69,107.77342
201510444881,1,1,6,4,2,3,99,107.77342
201510444883,1,1,4,4,2,3,0,215.54684
201510444887,1,1,5,6,2,3,11,49.280305
201510444887,1,1,5,6,2,3,69,49.280305
201510444887,2,1,5,6,2,3,0,49.280305
201510444888,1,1,4,6,2,3,0,197.12122
201510444888,2,1,4,6,2,3,0,197.12122
201510444889,1,1,5,6,2,3,0,49.280305
201510444889,2,1,5,6,2,3,46,49.280305
201510444903,1,1,6,10,2,3,0,89.85326
201510444903,2,1,6,10,2,3,0,89.85326
201510444904,1,1,4,10,2,3,0,179.70652
201510444904,2,1,4,10,2,3,0,179.70652
201510444906,2,1,4,10,2,3,0,179.70652
201510444915,1,1,5,1,2,3,0,54.292
201510444916,1,1,6,1,2,3,0,108.584
201510444917,1,1,1,1,2,3,69,27.146
201510444919,1,1,4,1,2,3,0,217.168
201510444919,2,1,4,1,2,3,0,217.168
201510444953,1,1,4,3,2,3,0,217.168
201510444953,2,1,4,3,2,3,7,217.168
201510444964,1,1,5,4,2,3,0,53.88671
201510444964,2,1,5,4,2,3,0,53.88671
201510444964,3,1,5,4,2,3,0,53.88671
201510444966,1,1,6,4,2,3,0,107.77342
201510444969,1,1,4,6,2,3,69,197.12122
201510444969,2,1,4,6,2,3,0,197.12122
201510444972,1,1,3,6,2,3,0,49.280305
201510444974,1,1,6,6,2,3,0,98.56061
201510444976,1,1,6,6,2,3,0,98.56061
201510444977,1,1,4,6,2,3,0,197.12122
201510444978,1,1,5,6,2,3,11,49.280305
201510444978,1,1,5,6,2,3,69,49.280305
201510444979,1,1,1,6,2,3,0,49.280305
201510444979,2,1,1,6,2,3,52,49.280305
201510444984,1,1,6,10,2,3,0,89.85326
201510444985,1,1,4,10,2,3,0,179.70652
201510444985,2,1,4,10,2,3,0,179.70652
201510444987,1,1,4,10,2,3,0,179.70652
201510444987,2,1,4,10,2,3,0,179.70652
201510444994,1,1,1,1,2,3,69,27.146
201510444999,1,1,4,2,2,3,58,217.168
201510444999,2,1,4,2,2,3,0,217.168
201510445001,1,1,5,2,2,3,8,54.292
201510445001,1,1,5,2,2,3,58,54.292
201510445001,2,1,5,2,2,3,0,54.292
201510445001,3,1,5,2,2,3,0,54.292
201510445012,1,1,6,3,2,3,0,108.584
201510445013,1,1,4,3,2,3,0,217.168
201510445013,2,1,4,3,2,3,0,217.168
201510445020,1,1,3,3,2,3,0,27.146
201510445020,2,1,3,3,2,3,0,27.146
201510445020,3,1,3,3,2,3,0,27.146
201510445026,1,1,5,4,2,3,0,53.88671
201510445026,2,1,5,4,2,3,0,53.88671
201510445027,1,1,4,4,2,3,0,215.54684
201510445030,1,1,6,4,2,3,0,107.77342
201510445032,1,1,6,4,2,3,23,107.77342
201510445032,1,1,6,4,2,3,37,107.77342
201510445032,1,1,6,4,2,3,74,107.77342
201510445036,1,1,2,10,2,3,0,89.85326
201510445036,2,1,2,10,2,3,0,89.85326
201510445036,3,1,2,10,2,3,0,89.85326
201510445038,1,1,4,10,2,3,0,179.70652
201510445038,2,1,4,10,2,3,0,179.70652
201510445041,1,1,1,16,2,3,0,106.644961
201510445042,1,1,5,16,2,3,0,106.644961
201510445043,1,1,4,16,2,3,0,213.289922
201510445043,2,1,4,16,2,3,0,213.289922
201510445045,1,1,4,16,2,3,7,213.289922
201510445045,1,1,4,16,2,3,11,213.289922
201510445045,1,1,4,16,2,3,98,213.289922
201510445060,1,1,5,3,2,3,0,54.292
201510445060,2,1,5,3,2,3,0,54.292
201510445061,1,1,3,3,2,3,0,27.146
201510445062,1,1,4,3,2,3,0,217.168
201510445062,2,1,4,3,2,3,0,217.168
201510445070,1,1,6,4,2,3,22,107.77342
201510445074,1,1,4,4,2,3,0,215.54684
201510445074,2,1,4,4,2,3,37,215.54684
201510445077,1,1,6,6,2,3,0,98.56061
201510445080,1,1,6,6,2,3,11,98.56061
201510445080,1,1,6,6,2,3,69,98.56061
